NYC FS 130128 0.05 0.05 130128_0.050_0.050_closure.txt 32580	22108	147141	45444	120545	239790	140168	196616	108688	24222	20668	77698	226191	28092	121831	84868	185071	58023	119110	239594	233970	108431	202099	104257	121474
NYC FS 130128 0.01 0.01 130128_0.010_0.010_closure_mvh.txt 32580	22108	147141	45444	120545	239790	140168	196616	108688	24222	20668	77698	226191	28092	121831	84868	185071	58023	119110	239594	233970	108431	202099	104257	121474
NYC FS 130128 0.005 0.005 130128_0.005_0.005_closure_mvh.txt 32580	22108	147141	45444	120545	239790	140168	196616	108688	24222	20668	77698	226191	28092	121831	84868	185071	58023	119110	239594	233970	108431	202099	104257	121474
NYC FS 130128 0.001 0.001 130128_0.001_0.001_closure_mvh.txt 32580	22108	147141	45444	120545	239790	140168	196616	108688	24222	20668	77698	226191	28092	121831	84868	185071	58023	119110	239594	233970	108431	202099	104257	121474
NYC FS 130128 0.1 0.1 130128_0.100_0.100_closure_mvh.txt 32580	22108	147141	45444	120545	239790	140168	196616	108688	24222	20668	77698	226191	28092	121831	84868	185071	58023	119110	239594	233970	108431	202099	104257	121474
BAY FS 276125 0.05 0.05 276125_0.050_0.050_closure_mvh.txt 271987	173636	95354	85217	205147	31772	119374	39799	65614	559	281121	148380	94937	185676	309667	304296	218171	139525	276888	173893	71292	3262	29546	302762	311464
BAY FS 276125 0.01 0.01 276125_0.010_0.010_closure_mvh.txt 271987	173636	95354	85217	205147	31772	119374	39799	65614	559	281121	148380	94937	185676	309667	304296	218171	139525	276888	173893	71292	3262	29546	302762	311464
BAY FS 276125 0.005 0.005 276125_0.005_0.005_closure_mvh.txt 271987	173636	95354	85217	205147	31772	119374	39799	65614	559	281121	148380	94937	185676	309667	304296	218171	139525	276888	173893	71292	3262	29546	302762	311464
BAY FS 276125 0.001 0.001 276125_0.001_0.001_closure_mvh.txt 271987	173636	95354	85217	205147	31772	119374	39799	65614	559	281121	148380	94937	185676	309667	304296	218171	139525	276888	173893	71292	3262	29546	302762	311464
BAY FS 276125 0.1 0.1 276125_0.100_0.100_closure_mvh.txt1 271987	173636	95354	85217	205147	31772	119374	39799	65614	559	281121	148380	94937	185676	309667	304296	218171	139525	276888	173893	71292	3262	29546	302762	311464

